partName,file,sourcePath,fixInfo,invertedNormals,badEdges,badContours,nearBadEdges,planarHoles,shells,noiseShells,intersectingTriangles,overlappingTriangles,advice,skipped,skipReason
09ZR0FP_SOLID,09ZR0FP_SOLID.stl,public/stl/09ZR0FP_SOLID.stl,FAIL,0,49,19,0,16,53,52,35948,0,Fill planar holes,false,
ball_with_missing_faces,ball_with_missing_faces.stl,public/stl/ball_with_missing_faces.stl,FAIL,0,8,2,0,2,1,0,0,0,Fill planar holes,false,
baseplate_shoulder_holes,baseplate_shoulder_holes.stl,public/stl/baseplate_shoulder_holes.stl,FAIL,0,73,23,0,20,53,52,35948,0,Fill planar holes,false,
BM-2_0PBL0AA_SURROGATEx,BM-2_0PBL0AA_SURROGATEx 5.stl,public/stl/BM-2_0PBL0AA_SURROGATEx 5.stl,PASS,0,0,0,0,0,1,0,0,0,No errors detected,false,
high_cube,high_cube.stl,public/stl/high_cube.stl,PASS,0,0,0,0,0,1,0,0,0,No errors detected,false,
high_cylinder,high_cylinder.stl,public/stl/high_cylinder.stl,PASS,0,0,0,0,0,1,0,0,0,No errors detected,false,
icosphere_with_holes,icosphere_with_holes.stl,public/stl/icosphere_with_holes.stl,FAIL,0,6,2,0,2,1,0,0,0,Fill planar holes,false,
not-watertight-face,not-watertight-face.stl,public/stl/not-watertight-face.stl,FAIL,0,26,7,0,7,1,0,4,0,Fill planar holes,false,
sample,sample.stl,public/stl/sample.stl,FAIL,1,6,2,0,2,2,1,2,0,Fix normals of inverted triangles,false,
sample2,sample2.stl,public/stl/sample2.stl,FAIL,0,3,1,0,1,1,0,0,0,Fill planar holes,false,
self-intersecting,self-intersecting.stl,public/stl/self-intersecting.stl,FAIL,1,6,2,0,2,2,1,2,0,Fix normals of inverted triangles,false,
self-intersecting-3d,self-intersecting-3d.stl,public/stl/self-intersecting-3d.stl,FAIL,4,16,4,0,2,10,9,12,8,Fix normals of inverted triangles,false,
test_noise,test_noise.stl,public/stl/test_noise.stl,FAIL,16,19,6,0,6,7,6,0,0,Fix normals of inverted triangles,false,
